,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,first_review,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month
119,1425070,2011-11-20,within an hour,1.0,0.99,t,2.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,8,2.0,3.0,6.0,441.0,4,1125,t,6,2012-07-03,4.93,f,1,2.9
120,2608724,2012-06-11,within an hour,0.99,1.0,t,6.0,t,t,Sant Antoni,Eixample,Entire home/apt,11,2.0,4.0,9.0,358.0,3,45,t,5,2012-06-20,4.93,t,4,4.34
121,1429552,2011-11-21,within an hour,1.0,1.0,t,8.0,t,t,Sant Antoni,Eixample,Entire home/apt,2,1.0,1.0,1.0,124.0,7,1125,t,6,2012-05-16,4.63,f,1,1.18
123,1405013,2011-11-14,within an hour,1.0,1.0,f,12.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,6,2.0,3.0,3.0,279.0,2,365,t,11,2016-11-27,4.59,t,12,0.82
124,2613353,2012-06-12,within a few hours,1.0,1.0,f,2.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,3,1.0,2.0,2.0,75.0,32,1125,t,29,2013-06-19,4.33,f,1,0.02
125,16569867,2014-06-09,within an hour,1.0,1.0,t,2.0,t,t,la Nova Esquerra de l'Eixample,Eixample,Private room,1,1.0,1.0,1.0,82.0,3,1125,t,0,2014-08-19,4.85,t,2,1.34
126,1923383,2012-03-14,a few days or more,0.0,0.15,f,2.0,t,t,la Vila de Gracia,Gracia,Private room,2,2.0,1.0,1.0,65.0,2,5,t,0,2017-06-05,4.75,f,1,1.73
127,1432835,2011-11-22,within an hour,0.99,0.99,f,41.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,4,2.0,2.0,2.0,187.0,3,365,t,2,2012-02-07,4.69,f,38,1.83
128,2626568,2012-06-13,within a few hours,1.0,0.96,t,1.0,t,t,el Fort Pienc,Eixample,Entire home/apt,2,1.0,1.0,1.0,266.0,5,30,t,0,2013-07-23,4.73,f,1,1.48
129,1447144,2011-11-27,within an hour,0.84,0.12,f,343.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,6,1.0,2.0,5.0,170.0,1,365,t,30,2012-04-03,3.5,f,159,0.01
130,1447144,2011-11-27,within an hour,0.84,0.12,f,343.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,5,1.0,2.0,5.0,233.0,1,365,t,30,2012-03-03,4.18,f,159,0.09
